cb_2020_3,road_density_local,road_density_secondary,road_len_total_m
1400000US13063040310,7296.875958931073,0.0,70901.49077548031
1400000US13063040407,6043.9199367178035,0.0,153973.5089842414
1400000US13063040409,5263.710951887936,0.0,76016.10102381784
1400000US13063040410,1938.1775032599105,2243.036831262941,225616.50144212588
1400000US13063040414,73726.32828346691,32409.3539248412,275299.1469117908
1400000US13063040416,7582.10889908665,18003.157628445955,156840.97854291264
1400000US13063040417,15651.994742615365,0.0,124565.55526930004
1400000US13063040418,5808.51023873229,0.0,49888.97974214151
1400000US13063040419,0.0,0.0,50832.269525336866
1400000US13063040420,4441.868869473176,6589.1690611853555,157148.3838178986
1400000US13063040421,0.0,0.0,104433.06027938717
1400000US13063040422,96378.45204171348,23072.811622078956,192253.67105028598
1400000US13063040423,57469.160153885816,0.0,168550.31543407118
1400000US13063040424,0.0,18108.193244061957,115104.34550637801
1400000US13063040425,0.0,8311.57331286642,87518.46821766542
1400000US13063040426,2181.320191248963,0.0,39162.68781855969
1400000US13063040427,3481.2983249431327,12677.673553162986,100965.69284631466
1400000US13063040509,2945.486686794865,0.0,59343.12908381547
1400000US13063040510,12809.848611983021,0.0,77448.84078970487
1400000US13063040512,11247.27838169265,0.0,98122.85072476898
1400000US13063040513,9683.40498962644,0.0,128282.38175819532
1400000US13063040518,0.0,0.0,39943.126889052284
1400000US13063040519,24374.104710503743,0.0,62357.365552833595
1400000US13063040521,0.0,0.0,30561.603051850685
1400000US13063040522,4956.336945138343,0.0,72495.44954268416
1400000US13063040523,12657.366936317721,0.0,63266.78839593417
1400000US13063040525,4006.9283712730926,0.0,29303.796134426717
1400000US13063040527,9222.326116018914,0.0,37429.63803323576
1400000US13063040528,8613.56012771264,0.0,46026.66273535815
1400000US13063040529,12494.849393421211,0.0,60305.84270646831
1400000US13063040530,7438.137186402732,0.0,57622.05048125358
1400000US13063040531,14025.921895949685,0.0,22063.24606704704
1400000US13063040532,11257.329519747818,0.0,30151.10736784475
1400000US13063040533,2808.2273628003036,0.0,41266.06738430789
1400000US13063040534,0.0,0.0,29636.464916929704
1400000US13063040535,4346.457652949958,0.0,37715.956742114555
1400000US13063040536,3829.8267401704484,0.0,37077.72669191167
1400000US13063040537,14376.832260820684,0.0,84751.43699903696
1400000US13063040538,8128.019599889554,0.0,40325.37502784735
1400000US13063040606,3296.1663009513973,0.0,183979.76375711855
1400000US13063040609,1867.254372212728,7388.042605522772,181046.46056020152
1400000US13063040614,798.7629054773056,0.0,102742.99962584837
1400000US13063040615,3365.8358567981127,21397.221205520083,107389.19054364147
1400000US13063040617,1178.4848460462294,49478.71368704044,66422.65551074913
1400000US13063040623,42595.19693874856,0.0,210697.2063181087
1400000US13063040624,29262.958571960255,0.0,185336.26045142353
1400000US13063040625,44879.49513780938,0.0,196276.42871434306
1400000US13063040626,0.0,0.0,60153.70227639753
1400000US13063040627,447.50567997060887,0.0,87468.43852822499
1400000US13063040628,0.0,0.0,58130.62388662126
1400000US13063040629,76267.4853026527,0.0,182755.56465851766
1400000US13063040630,42281.39401595333,0.0,203968.05030822655
1400000US13063040631,12169.64299211754,0.0,237964.6792389853
1400000US13063040632,516.547416468945,43626.13349747242,161537.58348609268
1400000US13063040633,0.0,10327.22848992785,84119.46442450906
1400000US13063040634,62868.297001461964,0.0,185034.76372904083
1400000US13063040635,40204.96410584263,0.0,229783.85070349457
1400000US13063040636,0.0,0.0,111790.44213848787
1400000US13063040637,66141.61468635048,0.0,189777.61006387198
1400000US13063040638,0.0,0.0,36131.35320813403
1400000US13063040639,0.0,0.0,66880.87190405888
1400000US13063980000,3940.29900418113,11413.488846584838,303063.2474798134
1400000US13067030104,3061.981254146756,0.0,48049.409642789105
1400000US13067030107,1586.6987989141298,42651.53389941472,231981.79081341866
1400000US13067030108,14283.446268783084,0.0,339182.32380228693
1400000US13067030109,15164.293633261259,0.0,273485.6903520008
