cb_2020_3,dist_water_m
1400000US13067030911,1015.0415563424631
1400000US13067030912,525.3188672176334
1400000US13067031001,806.2813781928616
1400000US13067031004,826.5247541020938
1400000US13067031005,709.2205097784807
1400000US13067031006,1168.8907100421884
1400000US13067031007,1120.6308463277544
1400000US13067031101,995.8214047098152
1400000US13067031110,863.6946326116292
1400000US13067031111,1485.001245123721
1400000US13067031112,1290.0483146612553
1400000US13067031113,527.8049705722922
1400000US13067031114,653.5877663780983
1400000US13067031115,800.9164791810645
1400000US13067031116,544.1539954065518
1400000US13067031117,795.8017008008136
1400000US13067031118,601.2617535347272
1400000US13067031119,537.1093170559537
1400000US13067031120,647.5618163674229
1400000US13067031121,370.2444431696108
1400000US13067031122,618.6623859817095
1400000US13067031207,386.5994468658351
1400000US13067031209,756.3326507526255
1400000US13067031212,357.0336490841898
1400000US13067031213,645.9325851717477
1400000US13067031214,348.1483060665951
1400000US13067031215,1194.1281556830952
1400000US13067031216,539.8609178450806
1400000US13067031217,848.7958512871014
1400000US13067031218,512.0950460385911
1400000US13067031219,482.56954953946166
1400000US13067031220,521.6250286919498
1400000US13067031221,687.2719200488763
1400000US13067031306,1049.775548555282
1400000US13067031308,759.7576250007619
1400000US13067031314,821.3958460714421
1400000US13067031315,609.2881087389223
1400000US13067031316,657.6694704654058
1400000US13067031317,868.3465967412492
1400000US13067031318,463.12105619897886
1400000US13067031319,489.36913107398186
1400000US13067031320,527.3422606352339
1400000US13067031321,459.00569577120615
1400000US13067031322,860.3743958278155
1400000US13067031323,890.8137242560751
1400000US13067031324,811.0615058386202
1400000US13067031325,565.1114499575768
1400000US13067031409,417.4381686394305
1400000US13067031410,904.3258811769607
1400000US13067031411,463.97726564557064
1400000US13067031412,665.7546556786292
1400000US13067031413,417.32505120528776
1400000US13067031414,664.2371868857459
1400000US13067031415,379.7450535922044
1400000US13067031416,363.12705072075767
1400000US13067031417,662.7216657512047
1400000US13067031506,441.6118489068401
1400000US13067031507,454.6956318745271
1400000US13067031510,395.10175930796464
1400000US13067031511,394.24278903013686
1400000US13067031512,457.701471288048
1400000US13067031513,619.5268354068824
1400000US13067031514,400.88951997704055
1400000US13067031515,479.7464363521174
1400000US13067031516,307.1375207991043
1400000US13067031517,554.2537672892634
1400000US13067031518,562.6045282515198
1400000US13077170101,394.66638505067016
1400000US13077170102,549.5534145935015
1400000US13077170200,516.8881304135107
1400000US13077170303,372.1857245837264
1400000US13077170304,390.8974933567361
1400000US13077170307,620.068396504197
1400000US13077170308,504.55092229175744
1400000US13077170309,687.5515837712384
1400000US13077170310,472.3674243514305
1400000US13077170403,467.50629217855993
1400000US13077170404,391.0480743858313
1400000US13077170405,464.9629226428838
1400000US13077170406,486.97640209981705
1400000US13077170407,588.2746205489011
1400000US13077170408,566.0200815486774
1400000US13077170501,411.96144564720237
1400000US13077170502,504.6339848500666
1400000US13077170503,480.19278677136606
1400000US13077170603,413.26991682290674
1400000US13077170604,520.2858144281989
1400000US13077170605,348.52798917868245
1400000US13077170606,472.5071770937792
1400000US13077170607,327.5420898231775
1400000US13077170701,902.3304796097405
1400000US13077170702,457.43413045242437
1400000US13077170801,529.7907728695974
1400000US13077170802,509.7906988610917
1400000US13085970101,2258.812790667865
1400000US13085970102,1058.2923901791885
1400000US13085970103,1354.0385249726824
1400000US13085970203,487.16005217816803
1400000US13085970204,353.33381050446246
1400000US13085970205,1135.1382160044186
1400000US13085970206,1108.7468850007338
1400000US13089020100,2281.6846781403456
1400000US13089020200,1351.9094700668813
1400000US13089020300,1507.565166198887
1400000US13089020400,2176.9777843692905
1400000US13089020500,2376.9726844243446
1400000US13089020600,2156.444836960862
1400000US13089020700,1302.941525491104
1400000US13089020801,1127.2720860962163
1400000US13089020802,642.3489398428533
1400000US13089020901,1975.9821548421412
1400000US13089020902,1283.2184061561704
1400000US13089021101,483.06769251809936
1400000US13089021103,888.2442500827913
1400000US13089021104,591.6934544339483
1400000US13089021204,1059.8818644835915
1400000US13089021208,809.6252193588987
1400000US13089021210,661.3530696008711
1400000US13089021211,492.019028843931
1400000US13089021213,1089.458427843186
1400000US13089021217,843.844749700363
1400000US13089021219,622.822010591724
1400000US13089021220,664.1441968531522
1400000US13089021221,567.8729268904814
1400000US13089021222,732.0227548013042
1400000US13089021223,902.3527891288593
1400000US13089021224,453.9770678480507
1400000US13089021225,735.4895489997652
1400000US13089021226,605.8679811040074
1400000US13089021227,1005.2927924285209
1400000US13089021228,412.91643487194347
1400000US13089021229,580.6982594434626
1400000US13089021230,330.29224917547657
1400000US13089021301,481.46041667822504
1400000US13089021305,312.4906956913955
1400000US13089021306,814.0124921165997
1400000US13089021307,1373.2637838026133
1400000US13089021308,815.6160829830284
1400000US13089021309,1577.1142289237869
1400000US13089021310,917.4301110861607
1400000US13089021405,1454.9134128924643
1400000US13089021409,1096.5672882765634
1400000US13089021410,1080.0803956153184
1400000US13089021411,1321.6973354553322
1400000US13089021412,1319.8063927140738
1400000US13089021415,598.2666527935716
1400000US13089021416,907.2225292607188
1400000US13089021417,457.4852530331443
1400000US13089021418,859.1009897446228
1400000US13089021419,457.5562234573988
1400000US13089021420,1218.3810663884947
1400000US13089021421,1339.234930389714
1400000US13089021502,1147.5330360724995
1400000US13089021503,797.4228805320016
1400000US13089021505,1263.2658081534219
1400000US13089021506,857.3544177453923
1400000US13089021602,910.0714180793494
1400000US13089021604,1178.237294566238
1400000US13089021606,1267.0959397141346
1400000US13089021607,452.1103454996365
1400000US13089021608,472.8775727990527
